process,step,Hongming,Haoyu,Yuqian,ground_true_relabel,id
Use a Litter Box for a Rabbit - Setting up the Litterbox,Choose a standard litterbox that is low enough for your rabbit to enter,1,1,1,1,413
Build a DIY Picture Frame Shelf - Making a Gallery Ledge Shelf,Gather your supplies,1,1,1,1,416
Make Sweet Curry Powder,Label and store,0,0,0,0,417
Make a Temporary Tattoo Last Longer - Preparing Your Skin,Exfoliate the area before the temporary tattoo is applied,1,1,1,1,419
Use Massage for Neck Pain - Giving Yourself a Massage,Apply  massage oil,1,1,1,1,420
Dye Crocs Shoes - Filling the Bin with Your Paints,Go outside and fill a plastic bin with water,1,0,0,0,425
Throat Sing - Throat Singing,Bring it all together to throat sing,0,0,0,0,428
Paint a Model Car - Hand Painting the Car," Apply paints using even, consistent strokes",1,1,1,1,429
Cut Wood Slices - Cutting Large Slices with a Chainsaw,Hold the chainsaw firmly with both hands and turn it on,1,1,1,1,430
Pack Pants - Folding Pants,Fold them in half vertically,1,1,0,1,432
Check Your SAT Score - Evaluating Other Relevant Information,Determine your superscore,1,0,0,0,433
Get a Dog to Stop Drinking from the Toilet - Training Your Dog,Catch your dog in the act,1,1,0,1,434
Preserve Lemons - Prepping the Lemons,Sterilize your canning jar,1,1,1,1,438
Find Fulfilling Work - Finding a Possible Career Path,Narrow down the list,1,1,1,1,440
Simulate a Fair Coin Toss With a Biased Coin - Steps,Flip the coin twice,1,0,0,0,442
Make a Care Package for a Long Distance Partner - Assembling the Care Package,Mail the package,1,1,1,1,443
Peel and Devein Shrimp - Deveining Shrimp,Check the shrimp's belly,1,1,1,1,445
Bake Eggs - Making Shirred Eggs,Crack 1 egg into each muffin tin or ramekin,1,0,0,0,446
Report a Fake Account on Facebook - Using the Mobile App,Open Facebook,1,1,1,1,447
Play French Darts,Keep score,0,0,0,0,448
Create a Chocolate Rose Arrangement - Making the Chocolate Roses,Remove flowers from molds by gently twisting mold tray and set flowers on a clean baking sheet out of the way,1,0,0,0,449
Make Aspirin if You're Lost in the Woods - Gathering Ingredients,Harvest some willow bark,1,1,1,1,450
Toast Sunflower Seeds - Microwave Toasting,Add the oil to the seeds,1,1,1,1,451
Cook Diced Beef - Sautéing Diced Beef,Create your seasoning,0,0,0,0,452
Manage a Disciplinary Meeting - Calling a Disciplinary Meeting," Schedule a date, time, and location for the meeting",1,1,1,1,453
Dry Sage - Drying Sage in a Food Dehydrator,Determine if the sage is dry,0,1,1,1,454
Teach Yourself to Get Up As Soon As Your Alarm Clock Goes Off - Waking Up,Begin your morning routine immediately,1,0,0,0,456
Repair Car Paint Chips - Repainting Medium Sized Chips,Wash the area around the chip,1,1,1,1,459
Make Pomegranate Seltzer - Preparing a Cranberry Pomegranate Seltzer,"Combine your juice, seltzer, and simple syrup",1,1,1,1,460
Submit a Link to a Web Directory," After filling the form, click continue/ Submit site",1,1,1,1,464
Clean Your Dog's Toothbrush - Disinfecting the Toothbrush,Replace the toothbrush,1,0,0,0,467
Give Flat Hair Volume - Drying Your Hair to Add Volume,Tease or back comb your hair,0,0,1,0,468
Play iPad Videos on TV - Using an Adapter,Buy an HDMI-to-iPad adapter,1,0,1,1,470
Field Dress a Deer - Removing the Entrails,Slice into the belly just deep enough to get through the skin,1,1,1,1,471
Make Fluffy Pancakes - Mixing the Dry Pancake Mix,Gather your ingredients and supplies,1,1,1,1,472
Make Paper Dolls - Completing Your Paper Doll,Design and make some clothes for your doll,1,1,1,1,474
Check Traffic - Checking Traffic with Google Maps,Tap “Layers” if you are using an app,1,0,0,0,476
Peel a Pumpkin - Peeling with a Vegetable Peeler,Wash the pumpkin to remove dirt and contaminants and soften the skin,1,1,1,1,477
Measure Helmet Size - Trying on a Helmet,Select a helmet designed to fit your head circumference,1,1,1,1,478
"Make a Plaster Cast of a Footwear Mark, Tyre Impression or Animal Footprint",Prepare the area for casting,0,0,1,0,479
Rotate Pages in a PDF Document Using Adobe Acrobat - Steps,Specify page numbers,1,1,1,1,486
Style Waist Length Hair - Getting Creative with Chopsticks and Braids,Separate the rest of your hair into quarters,0,0,0,0,487
Test the Heating Element in a Dryer - Examining an Electric Dryer,Unplug your electric dryer before performing any tests,0,0,0,0,488
Make Crunchy Cajun Potato Snacks,Heat some oil in a frying pan,1,1,1,1,489
Convert from Decimal to Binary - Descending Powers of Two and Subtraction,Start by making a chart,0,0,0,0,490
"Cut a Mat Using a Utility Knife - Planning, Drawing Guide Lines and Cutting the Board to Size",Assemble your supplies,0,0,0,0,492
Cure Astigmatism - Getting Laser Eye Surgery,Allow the eye surgeon to perform laser eye surgery,1,1,1,1,494
Play iPad Videos on TV - Using an Adapter,Unbox the adapter.,0,0,0,0,496
Deal with Misophonia - Finding Your Triggers,Know common misophonia triggers,1,1,1,1,497
Pressure Wash Vinyl Siding - Spraying on the Cleaning Solution,Let the cleaning solution sit for several minutes,1,1,1,1,498
Improve Sperm Morphology - Using Nutrition,Use olive oil instead of other types of fat,1,0,1,1,499
Check Traffic - Checking Traffic with Google Maps,If you pass any obstacles mark them in the Google Maps app,1,0,0,0,501
Make Mod Podge - Making Glue-Based Mod Podge,Wash out a jar with a tight-fitting lid,1,1,1,1,503
View the Boundaries of an Uber City,Locate and click the Uber City on the Uber Cities page,1,0,0,0,504
Use Microsoft Publisher - Saving Your Document,Click on “File” and select “Save,0,1,0,0,506
Arrange Silk Flowers - Creating Your Floral Arrangement,Shape petals and leaves as desired,1,1,1,1,507
Make a Balloon Pet - Balloon stress relief pet,Decorate the balloon pet,1,0,0,0,508
Set Google Chrome As Your Default Browser - macOS,Run the Chrome installer after downloading it,1,1,1,1,509
Build a DIY Picture Frame Shelf - Making a Gallery Ledge Shelf,Drill pocket holes for a more finished look,1,1,1,1,510
Cook Maja Blanca - Setting the Pudding,Refrigerate the pudding for 1-2 hours,1,1,1,1,511
Create a Macaron Cake - Assembling the Cake,Place the ring on top,0,0,0,0,513
Eject the CD Tray for Windows 10 - Ejecting from Inside a Desktop PC,Locate the CD/DVD-ROM drive,0,0,0,0,514
Hang Your Phone While Charging It - Hanging Your Phone by Its Cord,Plug your charger in and form a loop with the loose cord,1,0,0,0,515
Make a Putting Green - Constructing Your Green,Smooth the soil,0,1,1,1,517
Replace Scooter Wheels - Removing the Old Wheels,Slide out your old wheel from the scooter base,1,1,1,1,518
Whittle a Ball in a Cage - With Hand Tools,Mark on the wood with a pencil the trace lines as shown in the image,1,0,0,0,519
Be a Good Hamster Owner (for Kids) - Cleaning Your Hamster’s Cage,Remove the old bedding,1,1,0,1,520
Service an Air Conditioner - Clean the Air Conditioner,Use a soft brush to brush any dirt and debris off the outside cover,1,1,1,1,522
Create a Fillable PDF - Editing Form Fields,Click All Properties to access the field's editing tools,1,0,1,1,523
Cook Diced Beef - Sautéing Diced Beef,Get your ingredients,1,1,1,1,524
Hang Floating Shelves - Installing Cleats,Check to make sure the shelf is even before tightening the screws,1,1,1,1,525
Roll Paper Cartridges (Reenacting) - Twisting the Left Edge,Remove the dowel,1,1,1,1,526
Collect Rainwater for Drinking - Filtering the Rainwater,Use the rain barrel’s faucet to drain the water into a container,1,0,0,0,528
Repair Car Paint Chips - Repainting Medium Sized Chips,Apply primer to the metal,1,1,1,1,529
Make a Temporary Tattoo Last Longer - Preparing Your Skin,Cleanse the spot you plan to tattoo,1,1,1,1,530
Copy Text from a PDF to a Word Doc - Using Adobe Acrobat Reader for Windows or macOS,Copy the text,1,1,1,1,533
Bake a Cake - Making Apple Cake,Pour the batter into the pan,1,1,1,1,535
Accessorize Your Kitchen - Giving Your Kitchen a Theme and Colour Scheme,Choose your accessories based on your theme and colour scheme,1,0,0,0,536
Clean Under Laptop Keyboard Keys - Putty,Repeat all over the keyboard for a thorough clean,1,1,1,1,537
Buy a Harley Davidson - Considering a Used Harley-Davidson,Inspect the interior and the exterior of the bike,1,1,1,1,538
Perform Tracheostomy Care - Suctioning the Tube,Wash your hands thoroughly with soap and water.,1,1,1,1,539
Buy a Harley Davidson - Considering a Used Harley-Davidson,Ask the owner about the vehicle's history and maintenance,1,1,1,1,540
Make Vegetable Fritters - Making Gluten Free Vegetable Fritters,Ladle spoonfuls of batter onto the skillet,1,0,1,1,544
Apologize After a Heated Argument - Re-establishing Trust After an Argument,Commit to acting more appropriately,1,0,1,1,545
Make Crunchy Cajun Potato Snacks,Cook a little longer until both sides are golden/brown,1,1,1,1,546
Ride the Disneyland Monorail - Preparing to Board,Walk up and into the train once it's clear to board,0,1,1,1,547
Apologize After a Heated Argument - Re-establishing Trust After an Argument,Don’t hold grudges,0,0,0,0,548
Accessorize Your Kitchen - Giving Your Kitchen a Theme and Colour Scheme,Select a theme to help evoke your desired mood,1,1,1,1,550
Teach Yourself to Get Up As Soon As Your Alarm Clock Goes Off - Waking Up,Make and eat a healthy breakfast,1,0,0,0,551
Support the ACLU - Taking Action Online,Send a message to private businesses,0,0,0,0,552
Make Your Mobile Phone Number Appear As a Private Number - Asking Your Carrier To Make Your Number Private,Follow the menu options to talk to a customer service representative,0,0,1,0,554
Make Pickles - Simple Pickles,Pickle the cucumbers,1,1,1,1,555
Create a Kahoot Game,Log in,0,0,1,0,556
Test Liver Function - Getting the Blood Test,Let your doctor or nurse remove a sample of blood from a vein in your arm,1,1,1,1,557
Make Arroz Con Gandules Quickly,Turn the rice in the pot (meaning move dry rice to bottom and wet rice to top) build kind of like a pyramid of rice in the center of your pot Once you have turned rice get a large piece of foil and cover rice on low flame and cook till rice is soft Serve the rice,0,0,0,0,558
Copy Text from a PDF to a Word Doc - Using Adobe Acrobat Reader for Windows or macOS,save the copied text,1,1,1,1,559
Cook Brazilian Rice - Method One: Traditional Brazilian Rice,Add the garlic,0,0,0,0,561
Make German Chocolate Caramel Brownies," Mix the German chocolate cake mix, butter, second 1/3 cup of evaporated milk, chopped nuts in a large bowl, by hand",1,1,0,1,562
Field Dress a Deer - Removing the Entrails,Position the deer with its head facing uphill,1,1,1,1,563
Make Crunchy Cajun Potato Snacks,Carefully add the potato slices,1,1,1,1,564
Draw Skylanders - Hex," Beneath these, draw a polygon and stick figure to represent her torso and arms",0,0,0,0,565
Buy Postage Online - Purchasing Postage Labels Online with Stamps.com,Choose a postage service,1,1,1,1,566
Cook Diced Beef - Sautéing Diced Beef," Mix your diced beef with flour, salt, and pepper in a medium-sized mixing bowl",1,1,1,1,567
Get Rid of Spiders in the House - Verified Pest Control Methods,Vacuum spiders and spider webs,1,0,1,1,569
Manage a Disciplinary Meeting - Calling a Disciplinary Meeting,Keep the employee informed of the investigation,1,1,1,1,571
Paint Bamboo Furniture - Painting the Furniture,Choose an enamel spray paint for your furniture,1,0,0,0,572
Feather Your Hair - Prepping Your Hair,Learn what feathering is,1,1,1,1,573
Sharpen a Swiss Army Knife - Finishing Up,Open the knife,1,1,1,1,575
Turn On Windows Defender - Turning on Windows Defender,Open Start,1,1,1,1,577
Use Microsoft Paint in Windows - Adding Text,Enter your text,0,1,1,1,578
Make a Gas Mask - Making an Air Filter for your Mask,Replace your activated charcoal with each use,1,1,1,1,583
Make Rainbow Frosting - Skittles Rainbow Frosting,Beat the butter in a large bowl using an electric mixer,0,0,0,0,585
Change the Root Password in Linux - With the Current Root Password,Type exit and press ↵ Enter,1,1,1,1,586
Cut Wood Slices - Cutting Large Slices with a Chainsaw,Take note of the knots in the trunk so you can avoid them,1,1,1,1,587
Brown a Roast for Cooking in a Crockpot,Sprinkle and rub salt and pepper all over the meat,1,1,1,1,589
Peel a Pumpkin - Peeling with a Vegetable Peeler,Inspect the pumpkin and check to make sure all of the skin is peeled,1,1,1,1,590
Use Microsoft Paint in Windows - Adding Text,Click A,0,0,0,0,591
Turn On Windows Defender - Turning on Windows Defender,Click Virus & threat protection,1,1,0,1,594
Bake Eggs - Making Shirred Eggs,Grease a muffin tin with a light coat of cooking spray,1,1,1,1,596
Clean a MacBook Pro Keyboard - Cleaning and Disinfecting the Keyboard Surface,Use disinfectant wipes to clean the surface of your keyboard,1,1,0,1,598
Change Your Password in Linux Using Terminal," After entering your old password, enter in the new desired password",1,1,1,1,599
Change Your Password in Linux Using Terminal,Open the Terminal if using a desktop environment,1,1,1,1,600
Use Fashion Tape - Attaching the Tape,Cut a length of fashion tape that will support a problem area,1,1,1,1,602
Keep a Pet Snail - Making a Habitat,Pay attention to the temperature and humidity of the habitat,1,1,1,1,603
Improve Sperm Morphology - Using Nutrition,Follow a healthy diet to get more sperm-protecting nutrients,1,1,1,1,608
Report a Fake Account on Facebook - Using the Mobile App,Tap Report,1,1,1,1,610
Toast Sunflower Seeds - Microwave Toasting,Stir and continue cooking,1,1,1,1,613
Take Legal Action As a Victim of Violence at a Bar - Suing Your Assailant,File your complaint,1,1,1,1,614
Cut Parsnips - Cutting Disks on the Bias,Hold your knife at a 45-degree angle at one end of the parsnip,1,1,0,1,616
Write a Hypothesis for an Essay - Composing the Hypothesis,Have someone read over your hypothesis,1,1,1,1,617
Hide Your Profile Picture on Facebook - Using a Computer,Click the Photos tab on your profile page,1,1,1,1,618
Make Chocolate Babka - Making the Filling,Preheat the oven and grease a pan,1,1,1,1,621
Make Paper Dolls - Completing Your Paper Doll,Cut out the doll with scissors,1,1,1,1,624
Stay Organized when Moving," Take a sheet of labels for each of your rooms, and write on the labels K-1, K-2, K-3, etc",1,1,1,1,625
Change Your General Preferences on Safari - iOS,""" Tap ""Search Engine"" to change your default search engine",0,0,0,0,626
Build a Go Kart - Mounting the Engine and Steering Column,Install the wheels and brakes,1,1,1,1,627
Submit a Link to a Web Directory,Make sure your site is completed. Fix all broken links,1,1,1,1,629
Get Rid of Spiders in the House - Verified Pest Control Methods,Call a professional exterminator,1,1,1,1,630
Buy Postage Online - Purchasing Postage Labels Online with Stamps.com,Pay and print labels,1,1,1,1,632
Be Ready and Comfortable Kissing a Guy,Slowly look up at him,1,1,1,1,633
Use Bing Maps - Viewing Maps,View the map,1,1,1,1,634
Convert MediaWiki to WordPress,Decide on which method you'll choose for your site data transfer,1,1,1,1,637
Use Your Android As Your Workout Trainer - Using My Coach - Workout Trainer,Set the workout time,1,1,0,1,638
Make a Camo Cake - Baking the Cake,Allow the cakes to cool before removing them from the pans,0,1,1,1,639
Make a Vegan Avocado Chocolate Cake,Preheat the oven to 180ºC/350ºF,1,1,1,1,640
Report a Fake Account on Facebook - Using the Mobile App,Tap Report this profile,1,1,1,1,642
Make a Motion at a Board of Directors Meeting - Reaching a Resolution,Participate in the discussion and debate,1,1,1,1,643
Ride the Disneyland Monorail - Preparing to Board,Listen to all safety announcements,1,1,1,1,644
Get a Federal Explosives License - Submitting a Complete Application,Have the forms signed,1,1,1,1,645
Apply for a Utility Patent - Evaluating Your Invention's Patentability,Meet the basic requirements for patentability,1,1,1,1,648
Row on a Rowing Machine - Completing the Movement,Bend your knees to return to the starting position,1,2,1,1,649
Make Aleppo Soap - Molding the Soap,Let the soap sit in the mods for 1 to 2 days,1,1,1,1,651
Become a Registered Nurse - Obtaining the Correct Education and Credentials,Get a high school diploma,1,2,1,1,652
Clean Under Laptop Keyboard Keys - Putty,slowing pull off keyboard keys that have been effected with slime carefully,1,1,1,1,655
Prepare a Power of Attorney - Preparing a Power of Attorney Document,Name the powers granted,1,1,1,1,657
Grow Taro - Growing Shoots on Tubers,Purchase your tubers from a seed supplier or exotic market,1,1,1,1,659
Brown a Roast for Cooking in a Crockpot,Cut the roast into smaller pieces if it is too large to fit into your crockpot,1,1,1,1,660
Cook Goose Breasts - Pan-Roasted Goose Breasts,Heat olive oil in a skillet over medium-high heat,1,1,1,1,663
Contact the iTunes Store - Using Apple Support Resources,Get iTunes support to call you if you'd like to talk on the phone,1,1,1,1,664
Row on a Rowing Machine - Completing the Movement,Practice arm isolations,1,1,1,1,665
Cure Astigmatism - Getting Laser Eye Surgery,Learn the possible risks of laser eye surgery,1,1,1,1,671
Paint Patio Furniture - Refinishing Rusty Metal Furniture,Use a wire brush to scrape off rust and loose paint,1,1,1,1,672
Quickly Make an Alcoholic Party Punch - Classic Sangria,a flavor is pistachio in ice cream.,0,0,0,0,673
Make a Vegan Avocado Chocolate Cake,Pour the batter into the prepared cake pan,1,1,1,1,674
Eject the CD Tray for Windows 10 - Ejecting from Inside a Desktop PC,Remove the power cable and try another,0,0,0,0,675
Dehydrate Citrus Fruit - Cleaning and Slicing the Citrus,Rinse each citrus fruit under cool running water,0,1,0,0,676
Field Dress a Deer - Removing the Entrails,Make an incision into the middle of the belly muscle and insert 2 fingers into the hole,1,1,1,1,677
Make a Pumpkin Cake - Vegan Pumpkin Cake,Whisk the sugar and wet ingredients,1,1,1,1,678
Make a Vegan Avocado Chocolate Cake,Add the sugar to the bowl of wet ingredients,1,1,1,1,680
Update Your Browser - Updating Apple Safari on Mac OS X,"” Click on “App Store"" and then ""Show Updates",1,1,1,1,681
Reset Browser Settings - Firefox,Confirm that you want to reset your browser settings,0,1,1,1,682
Harvest Purslane - Growing Purslane,Purchase purslane seeds,1,1,1,1,683
Install Internet Explorer - Using Windows 10,Click Install,1,1,1,1,684
Add a Color Palette in Photoshop from a Photograph - Using the Palette,Open the photo that you want to color,0,1,1,1,685
Grow a Magnolia Tree - Laying the Seed,Consider your climate,1,1,1,1,687
Clean Brass Handles - Cleaning Brass Plate,Determine if your brass-plated handle is lacquered,1,1,1,1,688
Hide Friends on Facebook - On Mobile,Tap ☰,1,1,1,1,689
Save a wikiHow Article to Read Offline - iOS App,Open the wikiHow app on your iPhone or iPad,1,1,1,1,691
Test Liver Function - Getting the Blood Test,Do not eat the night before the test unless your doctor approves it,1,1,1,1,692
Make German Chocolate Caramel Brownies,Place in the oven and bake for 8-9 minutes,1,1,0,1,694
Contact the iTunes Store - Using Apple Support Resources,Start an online chat session if you want to talk with a representative,1,1,1,1,695
Collect Rainwater for Drinking - Filtering the Rainwater,Boil the water for 1 minute to kill any germs or bacteria in the water,1,1,1,1,696
Field Dress a Deer - Removing the Entrails,Make sure the deer is dead.,1,1,1,1,697
Kill Ants in Your House - Eliminating a House Ant Colony,Set out the bait stations in areas where you see ant activity,1,1,1,1,698
Tell If Someone Is in Your Closet,Turn on the light (or use a flashlight) to peer inside the closet before opening it if your closet has a slit in it,1,1,1,1,699
Act on a Movie Date at Your Boyfriend's House - Making A Good First Impression,Greet your boyfriend and his family,1,0,1,1,704
Strap a Thumb - Getting Ready to Strap Your Thumb,Shield skin before you begin taping or bandaging,1,0,1,1,705
Train Puggles - House-Training Your Puggle,Teach your dog to use the crate,1,0,1,1,706
Field Dress a Deer - Removing the Entrails,Roll the deer on its side and carefully pull out the entrails with your hands,1,1,1,1,707
Clean a CPAP - Cleaning Your CPAP Mask Daily,Disassemble your headgear,1,1,1,1,708
Recognize and Treat Postpartum Psychosis - Diagnosing Postpartum Psychosis,Get medical help immediately,1,1,1,1,710
Cover Dining Room Chairs - Covering Chairs with Store-Bought Slipcovers,Determine what shape and size slipcovers will fit your chair,1,1,1,1,711
Cook Freekeh - Freekeh Pilaf,Add the freekeh and spices to the onion,1,0,1,1,713
Row on a Rowing Machine - Completing the Movement,Extend your arms while reaching your torso forward,1,0,1,1,714
Unhook a Bra - Unhooking Someone Else’s Bra,Place one hand on the end of each strap,1,1,0,1,719
Clean Rust Off Cast Iron - Using Vinegar,Soak the pan,1,0,1,1,721
Create MP3 Files from Wikipedia Articles Using Pediaphon - Setting Up the Article to Covert,Pick the language of your choice,1,0,1,1,722
Get a Dog to Listen - Using a Dog’s Name to Get Its Attention,Praise dog when he gives you his attention in excited tone,1,1,1,1,723
Take Legal Action As a Victim of Violence at a Bar - Suing Your Assailant,Have the defendant served,0,0,1,0,724
Measure an Angle Using a Protractor - Calculating Reflex Angles,Place the midpoint of the protractor on the VERTEX of the angle.,1,1,1,1,725
Prepare a Power of Attorney - Preparing a Power of Attorney Document,Download or write a power of attorney form,1,1,1,1,726
Learn Cooking by Yourself - Mastering the Basics,Follow recipes exactly,1,1,1,1,727
Gently Curl Your Hair - Using a Headband,Separate your hair with your fingers,0,0,0,0,730
Talk About Daily Stress with Your Partner - Having Daily Conversations,Keep updated on each other’s lives,1,1,1,1,732
Whittle a Ball in a Cage - With Hand Tools,Cut the slivers from the ends of the block,0,0,0,0,733
Cut Wood Slices - Cutting Large Slices with a Chainsaw,"Wear thick gloves, long sleeves, and protective goggles",1,1,1,1,734
Hang Floating Shelves - Installing Cleats,Secure the shelf to the cleat with nails or screws,1,1,1,1,735
Answer What Interests You About This Job - Showing Why You Like the Company,Do your research,1,1,1,1,736
Create a Macaron Cake - Assembling the Cake,Place the cooled cake disk onto a serving plate,0,1,0,0,737
Copy Text from a PDF to a Word Doc - Using Adobe Acrobat Reader for Windows or macOS,Open a new document in Word,1,1,1,1,739
Clean a Dog's Wound - Seeking Professional Veterinary Help,Take the dog to the vet for stitches if the wound is more than superficial,0,1,1,1,740
Cook Diced Beef - Sautéing Diced Beef,Remove the fat from your meat,1,1,1,1,741
Hide Your Profile Picture on Facebook - Using a Computer,Select Only me on the drop-down menu,1,1,1,1,742
Use Microsoft Paint in Windows - Adding Text,Select a location for your text,0,0,1,0,743
Dry Sage - Drying Sage in a Food Dehydrator,Check the leaves every 30 minutes to see if they're dry,0,1,0,0,744
Use Fashion Tape - Attaching the Tape,Press the tape onto the opposite surface,1,1,1,1,745
Watch TV Without Cable - Cancelling Cable Contracts,Try streaming for at least 3 months before returning to cable,1,1,0,1,746
Update Your Browser - Updating Apple Safari on Mac OS X,Type in the administrator password for your Mac computer at the prompt,0,0,0,0,748
Pasteurize - Using Direct Heat to Pasteurize,Place the containers into a large stockpot and then fill it with water,1,1,1,1,749
Make Aspirin if You're Lost in the Woods - Gathering Ingredients,Look for a white willow tree first,1,1,1,1,750
Cite a Website with No Author - MLA," Include the date the website was created, if available",1,1,1,1,751
Delete a YouTube Account - Deleting Accounts,Visit the Google Account Management page,1,1,1,1,754
Identify Songs Using Melody - Using Technology,Wait for an answer,1,1,1,1,755
Peel and Devein Shrimp - Deveining Shrimp,Keep the shrimp cold until you're ready to cook them,1,0,1,1,756
Become a Registered Nurse - Obtaining the Correct Education and Credentials,Get licensed,1,1,1,1,757
Rotate Pages in a PDF Document Using Adobe Acrobat - Steps,Set direction of rotation,1,1,0,1,758
Play Chopsticks on a Keyboard or Piano - Playing the Song,Practice and practice!,1,1,1,1,759
Open XML - Using a Text Editor,Find the XML file you want to open,1,1,1,1,760
Kill Ants in Your House - Eliminating a House Ant Colony,Take simple measures to prevent future ant invasions of your home,1,1,0,1,762
Use Instacart on an iPhone or iPad,Learn about the product pages,0,1,1,1,763
Get a Japanese Passport - Getting Your Passport,Wait 7 to 10 days for your passport,1,1,1,1,764
Make Slow Cooker Glazed Carrots - Whipping Up Slow Cooker Brown Sugar Glazed Carrots,Cook the mixture on high for 4 to 5 hours,1,1,1,1,765
Clean a CPAP - Cleaning Your CPAP Mask Daily,Consider using CPAP mask wipes,1,1,0,1,767
Read Google Books," Search for a book or magazine's title, author, ISBN, or keywords",1,0,1,1,768
Cover Dining Room Chairs - Covering Chairs with Store-Bought Slipcovers,Decide which type of fabric you want,1,1,1,1,770
Paint Bamboo Furniture - Painting the Furniture,make sure you clean the furniture first,1,1,1,1,771
Bake Eggs - Making Shirred Eggs,Bake the eggs for 7 to 12 minutes,1,1,1,1,772
Make Mod Podge - Making Glue-Based Mod Podge,Close the lid tightly and shake it,1,1,1,1,773
Flat Iron Hair - Learning the Technique,Run the flat iron down the length of your section of hair,1,0,1,1,774
Make Shrimp Chef Salad with Lime and Cilantro," Dice the cucumber and tomatoes, and then add them to the salad",1,1,1,1,777
Make a Vanilla Cake - Basic Vanilla Cake," Add the butter, one teaspoon at a time",1,1,0,1,778
Make Shrimp Chef Salad with Lime and Cilantro,Chop the lettuce and add it to a salad bowl,1,1,1,1,779
Apply for a Marriage License in Kentucky - Getting a Marriage License in Kentucky if Both Parties are over 18,Visit the county clerk’s office to apply for a marriage license,0,1,1,1,780
Use Google Keyword Planner - Using the New Keyword Search," Click on ""Get Ideas",1,0,0,0,781
Uninstall Twitch on PC or Mac - Using Mac,Open your Applications folder,0,0,0,0,783
Be Ready and Comfortable Kissing a Guy,use mouthwash,0,0,0,0,787
Peel and Devein Shrimp - Deveining Shrimp,Use a paring knife to make a slit along the shrimp's back,1,1,1,1,789
Make Pickles - Simple Pickles,Serve,0,0,0,0,791
Make a Vegan Avocado Chocolate Cake,Remove from the oven,1,1,1,1,794
Cook Hot Dogs - Frying Hot Dogs,Heat some oil in a frying pan,1,1,0,1,797
Build a Home Studio for Computer Based Music Recording - Building a Home Studio,Connect everything up,1,1,1,1,798
Build a Home Studio for Computer Based Music Recording - Building a Home Studio,Acquire the appropriate equipment,1,1,1,1,799
Report Visa Violations - Reporting a Visa Holder,Find a hotline or local office of ICE,1,1,1,1,800
Grow a Magnolia Tree - Laying the Seed,Collect some seed pods,1,1,1,1,801
Download Google Docs - On Desktop,Select a document,1,1,1,1,805
Control Notifications on Periscope - Configuring Periscope’s Notifications Settings on iOS,"Select how you would like your notifications to be displayed (e.g., banner).",1,1,1,1,806
Build a Home Studio for Computer Based Music Recording - Building a Home Studio,Write a plan of what you want to do,1,1,0,1,810
Cover Dining Room Chairs - Covering Chairs with Store-Bought Slipcovers,Count the number of chairs you need to cover,1,0,1,1,811
Change Your General Preferences on Safari - iOS," Enable ""Do Not Track"" to help prevent websites from tracking your browsing",0,0,0,0,813
Dispose of Coffee Grounds - Making a Compost Heap,Brew some coffee.,1,1,1,1,816
Kill English Ivy - Killing Ivy on Trees,Cut the vines around the base of the tree,0,1,1,1,817
Delete a YouTube Account - Deleting Accounts," Click the ""Delete Google+ profile and features"" link",1,1,1,1,819
Switch Medicare from One State to Another - Moving with a Medigap Plan,Notify your insurance company of your address change,1,1,1,1,820
Make a Camo Cake - Baking the Cake,Preheat the oven according to the temperature on the boxed mix,1,1,1,1,825
Use Your Android As Your Workout Trainer - Using My Coach - Workout Trainer,Start a workout,1,1,1,1,826
Replace Scooter Wheels - Removing the Old Wheels,Loosen the screws of the old wheel with 2 allen wrenches,1,1,1,1,827
Paint a Model Car - Hand Painting the Car,Paint the smaller pieces of your model first,1,0,1,1,828
Have Assault Charges Dropped - Taking Preliminary Steps,Decide why you want to drop the charges,1,1,1,1,830
Cook Hot Dogs - Frying Hot Dogs,Place the hot dog pieces in the frying pan,1,1,1,1,831
Quickly Make an Alcoholic Party Punch - Classic Sangria,Mix the ingredients,1,1,1,1,833
Brown a Roast for Cooking in a Crockpot,Trim any excess fat off the meat,1,1,1,1,835
Grow Birch Trees - Planting the Birch Tree,Plant the seedling when it reaches 15 to 20 inches (40 to 50 cm) tall,1,1,1,1,836
Text a Heart Using Symbols,Add a 3,0,0,0,0,839
Write a Hypothesis for an Essay - Composing the Hypothesis,Determine what part of the experiment you will manipulate,1,1,1,1,840
Password Protect a PDF - Using PDF2Go,Enter a password,1,1,1,1,841
Write a Customer Relationship Management Plan - Writing Your CRM Plan,Construct a policy to handle customer communications,1,1,1,1,843
Cook Freekeh - Freekeh Pilaf," Add the stock, salt, and pepper",0,1,1,1,844
Field Dress a Deer - Removing the Entrails,Remove the sex organs if they’re in the way (when applicable),1,1,1,1,845
Block a Website with an Internet Filter - Block Website with Internet Filter,"Bring up Aobo Filter with HotKey ""ALT+SHIFT+F1"" Click the green ""+"" button to add any keyword to the ""Black List"", then choose the number of ""Amount of Keywords detected to trigger filtering""",1,0,0,0,847
Control Notifications on Periscope - Configuring Periscope’s Notifications Settings on iOS,Go to Notifications,1,1,1,1,849
Grow a Magnolia Tree - Laying the Seed,Store seeds,0,0,0,0,851
Change the Root Password in Linux - With the Current Root Password,Open a terminal window,1,1,1,1,855
Make Curly Fries - Baking the Fries,Heat the oven ,1,1,1,1,856
