process,step,annotation,iaa,true_label,id
Set Google Chrome As Your Default Browser - macOS, Run the Chrome installer after downloading it,"[2, 0, 1, 2, 1]",0.6,1,509
Build a DIY Picture Frame Shelf - Making a Gallery Ledge Shelf, Drill pocket holes for a more finished look,"[2, 1, 1, 1, 2]",1.0,1,510
Cook Maja Blanca - Setting the Pudding, Refrigerate the pudding for 1-2 hours,"[1, 1, 1, 2, 0]",0.6,1,511
Burn Essential Oil - Using a Traditional Oil Burner, Limit the time you burn oils to 30-60 minutes,"[0, -1, 2, 1, 2]",0.4,1,512
Create a Macaron Cake - Assembling the Cake, Place the ring on top,"[1, 0, 0, 1, 1]",0.4,1,513
Eject the CD Tray for Windows 10 - Ejecting from Inside a Desktop PC, Locate the CD/DVD-ROM drive,"[0, 0, 1, 2, 1]",0.4,1,514
Hang Your Phone While Charging It - Hanging Your Phone by Its Cord,Plug your charger in and form a loop with the loose cord,"[1, 0, 1, 1, 1]",0.6,1,515
Make Mod Podge - Making Glue-Based Mod Podge,need 1 cup of glue and 1/3 cup of water.,"[1.0, 2.0, 0.0, 1.0, 2.0]",0.6,1,516
Make a Putting Green - Constructing Your Green, Smooth the soil,"[-1, 0, 1, 1, 0]",0.4,0,517
Replace Scooter Wheels - Removing the Old Wheels, Slide out your old wheel from the scooter base,"[1, 2, 1, 2, 2]",1.0,1,518
Whittle a Ball in a Cage - With Hand Tools, Mark on the wood with a pencil the trace lines as shown in the image,"[-1, 1, 2, 2, 1]",0.6,1,519
Be a Good Hamster Owner (for Kids) - Cleaning Your Hamster’s Cage, Remove the old bedding,"[1, 2, 1, 0, 1]",0.6,1,520
Paint Bamboo Furniture - Painting the Furniture," Reattach the upholstery, cushions, and hardware if needed","[1, 1, 0, 2, 2]",0.6,1,521
Service an Air Conditioner - Clean the Air Conditioner, Use a soft brush to brush any dirt and debris off the outside cover,"[2, 1, 0, 1, 2]",0.6,1,522
Create a Fillable PDF - Editing Form Fields, Click All Properties to access the field's editing tools,"[2, 1, 1, 1, 1]",1.0,1,523
Cook Diced Beef - Sautéing Diced Beef,Get your ingredients,"[2.0, 2.0, 2.0, -1.0, -1.0]",0.4,1,524
Hang Floating Shelves - Installing Cleats, Check to make sure the shelf is even before tightening the screws,"[1, 2, 1, 2, 1]",1.0,1,525
Roll Paper Cartridges (Reenacting) - Twisting the Left Edge, Remove the dowel,"[2, 0, 1, 1, 1]",0.6,1,526
Prune Walnut Trees - Deciding on Tools,1–15,"[1, 0, 0, 0, 2]",0.4,0,527
Collect Rainwater for Drinking - Filtering the Rainwater,Use the rain barrel’s faucet to drain the water into a container,"[2, 0, 2, 2, 2]",0.6,1,528
Repair Car Paint Chips - Repainting Medium Sized Chips, Apply primer to the metal,"[2, 1, 1, 0, 2]",0.6,1,529
Make a Temporary Tattoo Last Longer - Preparing Your Skin,Cleanse the spot you plan to tattoo,"[1, 0, 2, 1, 1]",0.6,1,530
Make Straight Cuts with a Circular Saw - Constructing and Using a Straight Edge,Cut ⁄4 in (0,"[2, 1, 2, 1, 2]",1.0,1,531
Sign Up for a US Trusted Traveler Program - Signing up for NEXUS, Submit your application,"[2, 2, -1, 1, 0]",0.4,1,532
Copy Text from a PDF to a Word Doc - Using Adobe Acrobat Reader for Windows or macOS, Copy the text,"[1, 1, 2, 1, 2]",1.0,1,533
Peel a Kiwi - Peeling kiwifruit with a spoon,"Some people prefer to peel the kiwi first and then slice it. But, the easiest way to enjoy your kiwifruit would be to leave the skins on.","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,1,534
Bake a Cake - Making Apple Cake, Pour the batter into the pan,"[1, 0, 2, 1, 1]",0.6,1,535
Accessorize Your Kitchen - Giving Your Kitchen a Theme and Colour Scheme, Choose your accessories based on your theme and colour scheme,"[1, 1, 2, 1, 1]",1.0,1,536
Clean Under Laptop Keyboard Keys - Putty, Repeat all over the keyboard for a thorough clean,"[0, 1, 2, 1, 2]",0.6,1,537
Buy a Harley Davidson - Considering a Used Harley-Davidson, Inspect the interior and the exterior of the bike,"[1, 0, 1, 1, 1]",0.6,1,538
Perform Tracheostomy Care - Suctioning the Tube,Wash your hands thoroughly with soap and water.,"[1.0, 2.0, 1.0, 1.0, 2.0, 1.0, 2.0, 2.0, 1.0, 0.0]",1.0,1,539
Buy a Harley Davidson - Considering a Used Harley-Davidson, Ask the owner about the vehicle's history and maintenance,"[1, 1, 0, 1, 1]",0.6,1,540
Prune Walnut Trees - Deciding on Tools, Hire a professional if you have a very large walnut tree,"[2, 0, 2, 0, 2]",0.4,1,541
Get Amaryllis to Rebloom - Caring for Amaryllis in Summer, Continue on to the autumn section when weather cools or the leaves change color,"[1, 1, -1, 1, 1]",0.6,1,542
Test the Heating Element in a Dryer - Examining an Electric Dryer,if its still not working call professional.,"[2.0, 1.0, 2.0, 2.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0]",0.6,1,543
Make Vegetable Fritters - Making Gluten Free Vegetable Fritters, Ladle spoonfuls of batter onto the skillet,"[0, 1, 1, 1, 0]",0.4,1,544
Apologize After a Heated Argument - Re-establishing Trust After an Argument, Commit to acting more appropriately,"[1, 0, 1, 1, 1]",0.6,1,545
Make Crunchy Cajun Potato Snacks, Cook a little longer until both sides are golden/brown,"[2, 2, 2, 2, 1]",1.0,1,546
Ride the Disneyland Monorail - Preparing to Board, Walk up and into the train once it's clear to board,"[0, 2, 2, 0, 1]",0.4,1,547
Apologize After a Heated Argument - Re-establishing Trust After an Argument, Don’t hold grudges,"[1, 0, 0, 2, 1]",0.4,1,548
Calculate the Volume of a Prism - Calculating the Volume of a Triangular Prism,Write down the formula for finding the volume of a triangular prism,"[1, 2, 1, 0, 2]",0.6,1,549
Accessorize Your Kitchen - Giving Your Kitchen a Theme and Colour Scheme, Select a theme to help evoke your desired mood,"[1, 1, 2, 1, 1]",1.0,1,550
Teach Yourself to Get Up As Soon As Your Alarm Clock Goes Off - Waking Up, Make and eat a healthy breakfast,"[1, 1, 0, 1, 1]",0.6,1,551
Support the ACLU - Taking Action Online, Send a message to private businesses,"[0, 0, 1, 1, 0]",0.4,0,552
Flat Iron Hair - Learning the Technique, Run the straightener over the section up to 2-3 times,"[1, 0, 0, 1, 1]",0.4,1,553
Make Your Mobile Phone Number Appear As a Private Number - Asking Your Carrier To Make Your Number Private, Follow the menu options to talk to a customer service representative,"[-2, 0, 1, 1, 2]",0.4,1,554
Make Pickles - Simple Pickles, Pickle the cucumbers,"[2, 1, 1, 1, 1]",1.0,1,555
Create a Kahoot Game, Log in,"[1, 0, 1, 0, 2]",0.4,1,556
Test Liver Function - Getting the Blood Test, Let your doctor or nurse remove a sample of blood from a vein in your arm,"[2, 1, 2, 2, 1]",1.0,1,557
Make Arroz Con Gandules Quickly, Turn the rice in the pot (meaning move dry rice to bottom and wet rice to top) build kind of like a pyramid of rice in the center of your pot Once you have turned rice get a large piece of foil and cover rice on low flame and cook till rice is soft Serve the rice,"[0, 1, 2, 1, 0]",0.4,1,558
Copy Text from a PDF to a Word Doc - Using Adobe Acrobat Reader for Windows or macOS,save the copied text,"[2.0, 1.0, 2.0, 1.0, 1.0]",1.0,1,559
Make Dr. Pepper - Shortcut Dr Pepper,Add almond and vanilla extracts to a large glass or small pitcher,"[2, 1, 0, 1, 1]",0.6,1,560
Cook Brazilian Rice - Method One: Traditional Brazilian Rice, Add the garlic,"[2, -1, 2, 0, 1]",0.4,1,561
Make German Chocolate Caramel Brownies," Mix the German chocolate cake mix, butter, second 1/3 cup of evaporated milk, chopped nuts in a large bowl, by hand","[2, 1, 2, 2, 1]",1.0,1,562
Field Dress a Deer - Removing the Entrails,Position the deer with its head facing uphill,"[1, 1, 2, 2, 1]",1.0,1,563
Make Crunchy Cajun Potato Snacks, Carefully add the potato slices,"[2, 1, 2, 2, 0]",0.6,1,564
Draw Skylanders - Hex," Beneath these, draw a polygon and stick figure to represent her torso and arms","[0, 0, 0, 0, 1]",0.6,0,565
Buy Postage Online - Purchasing Postage Labels Online with Stamps.com, Choose a postage service,"[1, 1, 0, 2, 1]",0.6,1,566
Cook Diced Beef - Sautéing Diced Beef," Mix your diced beef with flour, salt, and pepper in a medium-sized mixing bowl","[1, 0, 1, 2, 1]",0.6,1,567
Build a Home Studio for Computer Based Music Recording - Building a Home Studio, Start writing simple tracks,"[0, 1, 0, 2, -2]",0.4,0,568
Get Rid of Spiders in the House - Verified Pest Control Methods,Vacuum spiders and spider webs,"[1, 1, 1, -1, 1]",0.6,1,569
Do a Pour Painting - Finishing Your Painting,Paintbrush to apply the protection Finish. Silicone makeup sponge for applying varnish.,"[2.0, 2.0, -2.0, 1.0, 2.0]",0.6,1,570
Manage a Disciplinary Meeting - Calling a Disciplinary Meeting, Keep the employee informed of the investigation,"[-2, 2, 1, 1, 2]",0.6,1,571
Paint Bamboo Furniture - Painting the Furniture,Choose an enamel spray paint for your furniture,"[1, 1, 0, 1, 2]",0.6,1,572
Feather Your Hair - Prepping Your Hair,Learn what feathering is,"[2, 1, 1, 1, -2]",0.6,1,573
Make Aleppo Soap - Molding the Soap,Pour the lye solution into the oils and blend until trace is reached,"[1, 2, 1, 1, 0]",0.6,1,574
Sharpen a Swiss Army Knife - Finishing Up,Open the knife,"[1.0, 1.0, -1.0, 1.0, 2.0]",0.6,1,575
Preserve Lemons - Prepping the Lemons," Slice the lemons lengthwise, leaving the bases attached","[1, 2, 2, 2, 0]",0.6,1,576
Turn On Windows Defender - Turning on Windows Defender, Open Start ,"[2, 1, 2, 0, 1]",0.6,1,577
Use Microsoft Paint in Windows - Adding Text, Enter your text,"[1, 0, 2, 1, -1]",0.4,1,578
Stay Organized when Moving," When you get to your new home, make signs to put on every door so the people unloading know where everything goes without you telling them","[1, 1, 2, 1, 2]",1.0,1,579
Uninstall Twitch on PC or Mac - Using Mac, Right-click Twitch in the Trash bin,"[0, 0, 2, 1, 1]",0.4,1,580
Make a Canoe - Carving Your Dugout Canoe, Roll the log over,"[1, 0, 1, 0, 1]",0.4,1,581
Clean a Granite Sink - Removing Hard Water Stains, Rub the oil all over the sink,"[1, 2, 0, 1, 1]",0.6,1,582
Make a Gas Mask - Making an Air Filter for your Mask, Replace your activated charcoal with each use,"[2, 1, 1, 2, 1]",1.0,1,583
Arrange Silk Flowers - Creating Your Floral Arrangement, Place larger flowers in the center,"[-1, -1, 1, 1, 0]",0.4,0,584
Make Rainbow Frosting - Skittles Rainbow Frosting, Beat the butter in a large bowl using an electric mixer,"[1, -1, 2, 1, 0]",0.4,1,585
Change the Root Password in Linux - With the Current Root Password, Type exit and press ↵ Enter,"[2, 2, 1, -2, 1]",0.6,1,586
Cut Wood Slices - Cutting Large Slices with a Chainsaw, Take note of the knots in the trunk so you can avoid them,"[0, 1, 1, 2, 1]",0.6,1,587
Hack Lanschool - Using LinuxLive USB,Burn a Linux ISO to a USB flash drive,"[1, 2, 1, 1, 1]",1.0,1,588
Brown a Roast for Cooking in a Crockpot, Sprinkle and rub salt and pepper all over the meat,"[1, 1, 1, 0, 2]",0.6,1,589
Peel a Pumpkin - Peeling with a Vegetable Peeler, Inspect the pumpkin and check to make sure all of the skin is peeled,"[1, 2, 1, 0, 1]",0.6,1,590
Use Microsoft Paint in Windows - Adding Text, Click A,"[1, 0, -1, 1, 0]",0.4,0,591
Turn Off Voicemail on a Samsung - Changing Call-Forwarding Settings, Tap Call Fowarding,"[2, 0, 1, 1, -1]",0.4,1,592
Construct a Raised Planting Bed - Constructing the Frame,5–5,"[1, 1, 0, 0, 1]",0.4,1,593
Turn On Windows Defender - Turning on Windows Defender, Click Virus & threat protection,"[2, 1, 1, 1, 0]",0.6,1,594
Make a Balloon Pet - Balloon stress relief pet, Done,"[2, 1, 2, 0, 1]",0.6,1,595
Bake Eggs - Making Shirred Eggs, Grease a muffin tin with a light coat of cooking spray,"[2, 2, 2, 1, 0]",0.6,1,596
Make Chocolate Babka - Making the Filling,Fill a pot with water and place the heatproof bowl atop the water.,"[2.0, 2.0, 0.0, 1.0, 1.0]",0.6,1,597
Clean a MacBook Pro Keyboard - Cleaning and Disinfecting the Keyboard Surface, Use disinfectant wipes to clean the surface of your keyboard,"[2, 2, 0, 2, 2]",0.6,1,598
Change Your Password in Linux Using Terminal," After entering your old password, enter in the new desired password","[1, 2, 1, 1, 2]",1.0,1,599
Change Your Password in Linux Using Terminal,Open the Terminal if using a desktop environment,"[1, 2, 1, 1, 2]",1.0,1,600
Lower a Varidesk - Using a Push-Button Electric Model, Let go of the button when the desk is lowered to your liking,"[0, 1, 0, 1, 2]",0.4,1,601
Use Fashion Tape - Attaching the Tape,Cut a length of fashion tape that will support a problem area,"[-1, 2, 2, 2, 2]",0.6,1,602
Keep a Pet Snail - Making a Habitat, Pay attention to the temperature and humidity of the habitat,"[1, 1, 2, 1, 0]",0.6,1,603
Bake a Cake - Making Apple Cake, Fold in the apples,"[1, -1, 2, 1, 2]",0.6,1,604
Tell If Someone Is in Your Closet, Lock your closet somehow,"[2, 2, 2, 2, 1]",1.0,1,605
Create a Macaron Cake - Assembling the Cake, Pipe stars onto the disk,"[1, 1, 0, 1, 1]",0.6,1,606
Check Your SAT Score - Evaluating Other Relevant Information,"Find out how SAT scores are calculated and learn how ranges, mean scores, ... that although SAT scores are important, colleges consider a lot of other ...","[-1.0, 1.0, 2.0, 1.0, 2.0]",0.6,1,607
Improve Sperm Morphology - Using Nutrition,Follow a healthy diet to get more sperm-protecting nutrients,"[1, 2, 1, 1, 1]",1.0,1,608
Use Your Android As Your Workout Trainer - Using My Coach - Workout Trainer, Go back to the dashboard,"[-1, 2, 1, 2, 2]",0.6,1,609
Report a Fake Account on Facebook - Using the Mobile App, Tap Report,"[2, 1, 1, 2, -1]",0.6,1,610
Make Chocolate Babka - Making the Filling, Heat the mixture in a double boiler,"[1, 1, 2, 1, 1]",1.0,1,611
Paint Patio Furniture - Refinishing Rusty Metal Furniture," Apply your spray paint in a thin, even coat","[2, 1, 1, 0, 2]",0.6,1,612
Toast Sunflower Seeds - Microwave Toasting, Stir and continue cooking,"[2, 1, 1, 2, 2]",1.0,1,613
Take Legal Action As a Victim of Violence at a Bar - Suing Your Assailant, File your complaint,"[1, 1, 2, 1, 2]",1.0,1,614
Know when to Use Oil Based Paint Instead of Latex," Before the final coat of paint, sand with a very fine grit sanding sponge or paper, wipe off the surface with a clean cloth, and then wipe with a tack rag","[2, 1, 2, 1, 0]",0.6,1,615
Cut Parsnips - Cutting Disks on the Bias, Hold your knife at a 45-degree angle at one end of the parsnip,"[1, 0, 2, 1, 1]",0.6,1,616
Write a Hypothesis for an Essay - Composing the Hypothesis, Have someone read over your hypothesis,"[2, 0, 1, 1, 0]",0.4,1,617
Hide Your Profile Picture on Facebook - Using a Computer, Click the Photos tab on your profile page,"[2, 2, 1, 1, 1]",1.0,1,618
"Create a Go Kart with a Lawnmower Engine - Assembling Motor Mount, Brake Rod, and Accessories", Give yourself a seat,"[0, 2, 2, 1, 2]",0.6,1,619
Use Excel - Creating Charts,first need data which you want to create chart and decide which dat part is x-axis and y-axis,"[2.0, 1.0, 1.0, 2.0, -1.0]",0.6,1,620
Make Chocolate Babka - Making the Filling,Preheat the oven and grease a pan,"[1, 1, 1, 1, 1]",1.0,1,621
Change Your Password in Linux Using Terminal," If you have the right permissions, it will ask you for your old password","[1, 2, 0, 1, 1]",0.6,1,622
Use Kaffir Lime Leaves - Using Dried or Powdered Leaves,Get out kaffir lime leaves,"[-1.0, -1.0, 1.0, 1.0, 2.0]",0.4,1,623
Make Paper Dolls - Completing Your Paper Doll, Cut out the doll with scissors,"[2, 1, 2, 1, 2]",1.0,1,624
Stay Organized when Moving," Take a sheet of labels for each of your rooms, and write on the labels K-1, K-2, K-3, etc","[1, 1, 1, 2, 2]",1.0,1,625
Change Your General Preferences on Safari - iOS,""" Tap ""Search Engine"" to change your default search engine","[0, 2, 0, 2, 1]",0.4,1,626
Build a Go Kart - Mounting the Engine and Steering Column, Install the wheels and brakes,"[-1, -1, 1, 2, 2]",0.4,1,627
Grow a Magnolia Tree - Laying the Seed, Pick a spot with decent sun coverage,"[1, 1, 2, 1, 1]",1.0,1,628
Submit a Link to a Web Directory,Make sure your site is completed. Fix all broken links,"[2.0, 1.0, 0.0, 1.0, 2.0, 1.0, 1.0, 2.0, 2.0, 1.0]",0.6,1,629
Get Rid of Spiders in the House - Verified Pest Control Methods, Call a professional exterminator,"[1, 1, 1, 2, 1]",1.0,1,630
Bypass Your School's Filter on Any iOS Device (Hack Free) - Using a Web Proxy, Open the web proxy on your device,"[-1, 2, -1, 2, 1]",0.4,1,631
Buy Postage Online - Purchasing Postage Labels Online with Stamps.com, Pay and print labels,"[-1, 1, 1, 2, 2]",0.6,1,632
Be Ready and Comfortable Kissing a Guy, Slowly look up at him,"[1, 1, 1, 0, 1]",0.6,1,633
Use Bing Maps - Viewing Maps, View the map,"[2, 1, 1, -1, 1]",0.6,1,634
Make an Ender Chest in Minecraft, Craft blaze powder,"[1, 1, 2, 1, 1]",1.0,1,635
Bake a Cake - Making Apple Cake, Melt the butter and allow it to cool,"[2, 0, 2, 1, 1]",0.6,1,636
Convert MediaWiki to WordPress,Decide on which method you'll choose for your site data transfer,"[1, 1, 2, 1, -1]",0.6,1,637
Use Your Android As Your Workout Trainer - Using My Coach - Workout Trainer, Set the workout time,"[1, 2, 1, 2, 2]",1.0,1,638
Make a Camo Cake - Baking the Cake, Allow the cakes to cool before removing them from the pans,"[-1, 1, 0, 0, 0]",0.6,0,639
Make a Vegan Avocado Chocolate Cake,Preheat the oven to 180ºC/350ºF,"[2, 1, 1, 1, 1]",1.0,1,640
Prepare a Power of Attorney - Preparing a Power of Attorney Document, Prepare a Revocation of Power of Attorney if you change your mind,"[1, 2, 1, 1, 0]",0.6,1,641
Report a Fake Account on Facebook - Using the Mobile App, Tap Report this profile,"[2, 1, 1, 1, 1]",1.0,1,642
Make a Motion at a Board of Directors Meeting - Reaching a Resolution, Participate in the discussion and debate,"[1, 2, -1, 2, 1]",0.6,1,643
Ride the Disneyland Monorail - Preparing to Board, Listen to all safety announcements,"[1, 2, 2, 0, 1]",0.6,1,644
Get a Federal Explosives License - Submitting a Complete Application,Have the forms signed,"[2, 1, 2, 2, 2]",1.0,1,645
Do the 'Pass It On' Trick in Class - Flash mobs," At the suggested time, the class will do the suggested thing","[1, 1, 1, 2, 0]",0.6,1,646
Use a GoPhone Plan With an iPhone - iPhone through iPhone 3GS,Get an old AT&T iPhone,"[-1, 1, 0, 2, 1]",0.4,1,647
Apply for a Utility Patent - Evaluating Your Invention's Patentability,Meet the basic requirements for patentability,"[0, 2, 2, 2, 1]",0.6,1,648
Row on a Rowing Machine - Completing the Movement, Bend your knees to return to the starting position,"[1, -1, 1, 1, 1]",0.6,1,649
Undo a Bra One Handed - Familiarizing Yourself with a Bra, Practice unhooking the bra with one hand,"[0, 1, 1, 2, 1]",0.6,1,650
Make Aleppo Soap - Molding the Soap, Let the soap sit in the mods for 1 to 2 days,"[1, 2, 1, 2, 1]",1.0,1,651
Become a Registered Nurse - Obtaining the Correct Education and Credentials,Get a high school diploma,"[2, 2, 2, 2, 2]",1.0,1,652
Make Dr. Pepper - Shortcut Dr Pepper, Pour 20  fl oz (590 mL) of cola into the glass or pitcher,"[2, 1, 1, 1, 2]",1.0,1,653
Make Clove Oil - Gathering Your Ingredients and Supplies,Buy cloves at your local health food store,"[2, 1, 0, 2, 2]",0.6,1,654
Clean Under Laptop Keyboard Keys - Putty,slowing pull off keyboard keys that have been effected with slime carefully,"[2.0, 1.0, 1.0, -2.0, 2.0]",0.6,1,655
Make Tumblr Edits - Editing Posts Using URLs,” The edits made to your Tumblr post are now saved,"[0, 2, 1, 0, 1]",0.4,1,656
Prepare a Power of Attorney - Preparing a Power of Attorney Document, Name the powers granted,"[2, 2, 2, 1, 0]",0.6,1,657
Open CSV Files - OpenOffice Calc, Select the “Comma” checkbox then click “OK”,"[2, 0, -1, 1, 0]",0.4,0,658
Grow Taro - Growing Shoots on Tubers,Purchase your tubers from a seed supplier or exotic market,"[1, 1, -1, 1, 1]",0.6,1,659
Brown a Roast for Cooking in a Crockpot, Cut the roast into smaller pieces if it is too large to fit into your crockpot,"[1, 1, 1, -1, 2]",0.6,1,660
Make a Pumpkin Cake - Vegan Pumpkin Cake, Sift the dry ingredients,"[2, 1, 0, 2, 0]",0.4,1,661
Take Legal Action As a Victim of Violence at a Bar - Suing Your Assailant,nothing missing in this,"[0.0, 1.0, -2.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0]",0.4,1,662
Cook Goose Breasts - Pan-Roasted Goose Breasts, Heat olive oil in a skillet over medium-high heat,"[2, 1, 1, 2, 2]",1.0,1,663
Contact the iTunes Store - Using Apple Support Resources, Get iTunes support to call you if you'd like to talk on the phone,"[1, 2, 2, 1, -1]",0.6,1,664
Row on a Rowing Machine - Completing the Movement,Practice arm isolations,"[2, 1, 1, 0, 1]",0.6,1,665
Improve Sperm Morphology - Using Nutrition, Consume 2 to 3 daily servings of vitamin E-rich foods,"[1, 1, 2, 1, 0]",0.6,1,666
Convert from Decimal to Binary - Descending Powers of Two and Subtraction, Continue until you reach the end of your chart,"[1, 0, 2, 1, 0]",0.4,1,667
Create a Fillable PDF - Editing Form Fields," Add buttons, menus, and other options","[1, 0, 1, 1, 2]",0.6,1,668
Ride the Disneyland Monorail - Preparing to Board,Find where you want to board the Monorail,"[0, 2, 2, 0, 1]",0.4,1,669
Eject the CD Tray for Windows 10 - Ejecting from Inside a Desktop PC, Remove the side panel from the computer,"[0, 1, 1, 1, 1]",0.6,1,670
Cure Astigmatism - Getting Laser Eye Surgery, Learn the possible risks of laser eye surgery,"[2, 2, 2, 2, 1]",1.0,1,671
Paint Patio Furniture - Refinishing Rusty Metal Furniture, Use a wire brush to scrape off rust and loose paint,"[1, 2, 1, 1, 2]",1.0,1,672
Quickly Make an Alcoholic Party Punch - Classic Sangria,a flavor is pistachio in ice cream.,"[-2.0, -2.0, 1.0, 1.0, 1.0]",0.4,1,673
Make a Vegan Avocado Chocolate Cake, Pour the batter into the prepared cake pan,"[2, 1, 1, 2, 0]",0.6,1,674
Eject the CD Tray for Windows 10 - Ejecting from Inside a Desktop PC, Remove the power cable and try another,"[0, 0, 1, -1, 2]",0.4,0,675
Dehydrate Citrus Fruit - Cleaning and Slicing the Citrus,Rinse each citrus fruit under cool running water,"[1, 0, 0, 1, 2]",0.4,1,676
Field Dress a Deer - Removing the Entrails, Make an incision into the middle of the belly muscle and insert 2 fingers into the hole,"[1, 1, 2, 2, 0]",0.6,1,677
Make a Pumpkin Cake - Vegan Pumpkin Cake, Whisk the sugar and wet ingredients,"[2, 1, 0, 2, 0]",0.4,1,678
Clean Your Dog's Toothbrush - Disinfecting the Toothbrush,"Just squeeze some dog toothpaste in between the bristles, which are specially positioned to scrub a dog's teeth. Clean the bone either by hand or in the dishwasher before and after use, so residue doesn't collect on the rubber.","[2.0, -1.0, 1.0, 1.0, 1.0]",0.6,1,679
Make a Vegan Avocado Chocolate Cake, Add the sugar to the bowl of wet ingredients,"[1, 1, 1, 2, 0]",0.6,1,680
Update Your Browser - Updating Apple Safari on Mac OS X,"” Click on “App Store"" and then ""Show Updates","[2, 2, 1, 1, 0]",0.6,1,681
Reset Browser Settings - Firefox, Confirm that you want to reset your browser settings,"[2, 0, 1, 0, 1]",0.4,1,682
Harvest Purslane - Growing Purslane,Purchase purslane seeds,"[0, 2, 1, 2, 1]",0.6,1,683
Install Internet Explorer - Using Windows 10, Click Install,"[1, 2, 1, 2, 2]",1.0,1,684
Add a Color Palette in Photoshop from a Photograph - Using the Palette,Open the photo that you want to color,"[2, 0, 2, 0, 2]",0.4,1,685
Separate Sand and Salt - Carrying Out the Experiment,Gather your supplies,"[1, 1, 0, 2, 1]",0.6,1,686
Grow a Magnolia Tree - Laying the Seed,Consider your climate,"[1, 1, 2, 2, 2]",1.0,1,687
Clean Brass Handles - Cleaning Brass Plate, Determine if your brass-plated handle is lacquered,"[1, 0, 2, 1, 2]",0.6,1,688
Hide Friends on Facebook - On Mobile, Tap ☰,"[2, 2, 1, 1, 1]",1.0,1,689
Cook Maja Blanca - Setting the Pudding, Serve the pudding by cutting it into slices,"[1, 1, 1, 2, 0]",0.6,1,690
Save a wikiHow Article to Read Offline - iOS App, Open the wikiHow app on your iPhone or iPad,"[1, 1, 1, 1, 1]",1.0,1,691
Test Liver Function - Getting the Blood Test,Do not eat the night before the test unless your doctor approves it,"[1, 2, 2, 2, 1]",1.0,1,692
Play Roller Derby - Starting the Jam, Swap out players between jams as needed,"[1, 1, -1, 0, -1]",0.4,0,693
Make German Chocolate Caramel Brownies, Place in the oven and bake for 8-9 minutes,"[2, 1, 2, 1, 1]",1.0,1,694
Contact the iTunes Store - Using Apple Support Resources, Start an online chat session if you want to talk with a representative,"[1, 2, 2, 1, 0]",0.6,1,695
Collect Rainwater for Drinking - Filtering the Rainwater, Boil the water for 1 minute to kill any germs or bacteria in the water,"[2, -1, 2, 2, 2]",0.6,1,696
Field Dress a Deer - Removing the Entrails,Make sure the deer is dead.,"[2.0, 2.0, -1.0, 1.0, 0.0]",0.4,1,697
Kill Ants in Your House - Eliminating a House Ant Colony, Set out the bait stations in areas where you see ant activity,"[1, 2, 2, 1, 2]",1.0,1,698
Tell If Someone Is in Your Closet, Turn on the light (or use a flashlight) to peer inside the closet before opening it if your closet has a slit in it,"[0, 1, 2, 2, 1]",0.6,1,699
Make an Ender Chest in Minecraft, Craft the Ender Chest,"[1, 1, 1, 2, 0]",0.6,1,700
Diagnose a Fistula - Getting a Medical Diagnosis, Get a double-dye or blue dye test for vaginal fistulas,"[0, 1, 0, 1, 2]",0.4,1,701
Make Mod Podge - Making Glue-Based Mod Podge," Open the bottle of glue, and pour it into the container","[2, 2, 0, 0, 1]",0.4,1,702
Train Puggles - House-Training Your Puggle,Begin training your puggle right away,"[2, 2, 2, 2, 1]",1.0,1,703
Act on a Movie Date at Your Boyfriend's House - Making A Good First Impression, Greet your boyfriend and his family,"[2, 1, 0, 1, 1]",0.6,1,704
Strap a Thumb - Getting Ready to Strap Your Thumb, Shield skin before you begin taping or bandaging,"[1, 0, 1, 1, 1]",0.6,1,705
Train Puggles - House-Training Your Puggle, Teach your dog to use the crate,"[2, 2, 2, 1, 1]",1.0,1,706
Field Dress a Deer - Removing the Entrails, Roll the deer on its side and carefully pull out the entrails with your hands,"[0, 1, 2, 2, 0]",0.4,1,707
Clean a CPAP - Cleaning Your CPAP Mask Daily,Disassemble your headgear,"[2, 1, 2, 2, 2]",1.0,1,708
Use Bing Maps - Viewing Maps,You may also search for a particular location.,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,1,709
Recognize and Treat Postpartum Psychosis - Diagnosing Postpartum Psychosis,Get medical help immediately,"[1, 2, 1, 2, 1]",1.0,1,710
Cover Dining Room Chairs - Covering Chairs with Store-Bought Slipcovers, Determine what shape and size slipcovers will fit your chair,"[2, 1, 2, 2, 0]",0.6,1,711
Clean a CPAP - Cleaning Your CPAP Mask Daily, Hand wash the mask with soapy water,"[1, 0, 1, 2, 2]",0.6,1,712
Cook Freekeh - Freekeh Pilaf, Add the freekeh and spices to the onion,"[1, 1, 1, 1, 0]",0.6,1,713
Row on a Rowing Machine - Completing the Movement, Extend your arms while reaching your torso forward,"[2, 1, 1, 1, 1]",1.0,1,714
"Create a Go Kart with a Lawnmower Engine - Assembling Motor Mount, Brake Rod, and Accessories",Find the starter.,"[2.0, 2.0, -2.0, 1.0, -1.0]",0.4,1,715
Have Jehovah's Witnesses Go Away - Interacting with a Jehovah's Witness, Interrupt them,"[1, 1, 1, 1, 2]",1.0,1,716
