,video-id,fold-ind,startphrase,sent1,sent2,gold-source,ending0,ending1,ending2,ending3,label
176,176,176,xxx,xxx,How to Find Happiness As an Introvert - Putting Yourself Out There,xxx,Talk to a stranger. Join a small group or club. Showcase your skills. Suggest a solution for a problem.,xxx,xxx,xxx,0
177,177,177,xxx,xxx,How to Bypass Your School's Filter on Any iOS Device (Hack Free) - Using a Web Proxy,xxx,Find a web proxy that works. Open the web proxy on your device. Enjoy unfiltered access to the Internet.,xxx,xxx,xxx,1
178,178,178,xxx,xxx,How to Buy a Harley Davidson - Considering a Used Harley-Davidson,xxx,Familiarize yourself with Harley-Davidson bikes of recent decades. Search classified ads. Find the current market value of the specific model you're considering. Test ride the bike you are considering purchasing. Inspect the interior and the exterior of the bike. Verify the vehicle's mileage. Ask the owner about the vehicle's history and maintenance. Get a vehicle history report using the bike's VIN. Negotiate the price until you are satisfied.,xxx,xxx,xxx,1
179,179,179,xxx,xxx,How to Use Physical Therapy to Relieve Arthritis Symptoms - Doing Strengthening Exercises,xxx,Benefit from strengthening exercises. Use an exercise ball. Strengthen your muscles and joints by using weights. Use resistance bands.,xxx,xxx,xxx,0
180,180,180,xxx,xxx,How to Find Perfect Ice Skates,xxx,"Consider what kind of skating you do. Once that is done, get some skates. Go to a sports store like, Models, Sports Authority, or Dick's Sporting Goods. Go to the ice skate area and look at all of the skates. Choose 3 different types of skates in your size.",xxx,xxx,xxx,1
181,181,181,xxx,xxx,How to Prepare a Power of Attorney - Preparing a Power of Attorney Document,xxx,Check your state’s requirements. Download or write a power of attorney form. Name the parties. Name the powers granted. Note powers that a principal cannot confer. Gather witnesses. Prepare a Revocation of Power of Attorney if you change your mind.,xxx,xxx,xxx,1
182,182,182,xxx,xxx,How to Clean a Dog's Wound - Seeking Professional Veterinary Help,xxx,Don’t wait to see a vet for eye injuries. Take the dog to the vet for stitches if the wound is more than superficial. Seek veterinary help for all bite wounds. Have the vet drain or debride the wound if necessary. Ask the vet about systemic antibiotics.,xxx,xxx,xxx,1
183,183,183,xxx,xxx,How to Make Him Want You - Having an Attractive Personality,xxx,Act confident. Be kind. Be open to new things. Be positive. Give him his space. Keep your conversations interesting.,xxx,xxx,xxx,0
184,184,184,xxx,xxx,How to Add a Twist to a Story - Honing your Twist,xxx,"Emphasize the narrative, not the twist. Create interesting situations. Advance the plot. Challenge genre stereotypes.",xxx,xxx,xxx,0
185,185,185,xxx,xxx,How to Treat Scalds - Caring for the Scald at Home,xxx,"Keep the area clean to ward off infection. Apply a lotion or ointment to the scald after it cools. Cover the scald with a loose, sterile bandage to keep it clean. Avoid scratching the scalded skin or popping any blisters that develop. Keep the scalded area out of the sun if possible to keep it comfortable. Watch out for signs of infection.",xxx,xxx,xxx,0
186,186,186,xxx,xxx,How to Make a Vanilla Cake - Basic Vanilla Cake,xxx,"Prepare to make the cake. Sift the dry ingredients except the sugar. Add the butter, one teaspoon at a time. Add the sugar and eggs. Pour the vanilla extract and milk. Pour the cake batter in a cake pan. Bake the cake. Let the cake cool. Frost the cake. Enjoy!",xxx,xxx,xxx,1
187,187,187,xxx,xxx,How to Clean Brass Handles - Cleaning Brass Plate,xxx,Determine if you have brass-plated metal. Determine if your brass-plated handle is lacquered. Use ammonia or mild soap on unlacquered brass-plated handles. Utilize soapy water to clean lacquered brass-plated handles. Use a commercial cleaning product for heavily tarnished brass plate. Be especially gentle with brass-plated handles.,xxx,xxx,xxx,1
188,188,188,xxx,xxx,How to Get Rid of Yellow Nails - Treating Yellowed Nails,xxx,Remove nail polish. Buff your nails. Rub lemon on your nails. Scrub your nails with hydrogen peroxide and baking soda. Apply whitening toothpaste to your nails. Whiten your nails with denture tablets. Tea Tree Oil. Consult a medical professional.,xxx,xxx,xxx,0
189,189,189,xxx,xxx,"How to Create a Go Kart with a Lawnmower Engine - Assembling Motor Mount, Brake Rod, and Accessories",xxx,Install your motor mount. Attach the throttle cable guide tab. Put in the brake rod guide tab. Bend your brake rod into shape. Give yourself a seat. Choose your side rails. Weld motor mount and attach accessory parts.,xxx,xxx,xxx,1
190,190,190,xxx,xxx,How to Attend a Concert - Preparing for Going to the Concert,xxx,"Check the weather forecast. Have an early night. Call your friends. Determine the start time of the show by checking your ticket. Coordinate your departure time allowing for traffic. Coordinate supplies or items you will need in advance. Carpool or ""caravan"". Dress appropriately for the weather but assume the interior of the venue will become quite warm. Be ready for some searching and frisk. Keep your ticket on your person at all times. Leave your food and beverage at home. Know what's not permitted.",xxx,xxx,xxx,0
191,191,191,xxx,xxx,How to Use a Colon in a Sentence - Using Colons to Direct Attention,xxx,Precede a list with a colon. Set off a noun or noun phrase with a colon. Introduce a lengthy quotation.,xxx,xxx,xxx,0
192,192,192,xxx,xxx,How to Dye Your Pet - Determining Safety,xxx,Avoid using human hair dye. Do not dye a pet with existing health conditions. Use organic food dye. Use organic foods. Try an organic chalk. Do NOT use spray paint.,xxx,xxx,xxx,0
193,193,193,xxx,xxx,How to Hire a Personal Chef - Searching for Candidates,xxx,Use an online directory of local services to find candidates. Browse the websites of personal chef associations for affiliated candidates. Ask for recommendations from friends or family. Hang a job posting at a nearby culinary school.,xxx,xxx,xxx,0
194,194,194,xxx,xxx,How to Pass an AKC Inspection - Providing Care to the Dogs,xxx,Provide each dog with proper identification. Ensure all dogs are in good health. Provide all dogs with access to food and water. Groom your dogs. Exercise your dogs regularly.,xxx,xxx,xxx,0
195,195,195,xxx,xxx,How to Treat Hematuria - Correcting the Problem,xxx,Take antibiotics if you have a urinary tract infection. Try prescription medication if you have an enlarged prostate. Drink lots of fluids to pass kidney stones. Discuss surgery and other treatment if a tumor is found. Follow up with your doctor to make sure there's no more blood in your urine.,xxx,xxx,xxx,0
196,196,196,xxx,xxx,How to Deal With a Friend That You Lost - Moving Forward,xxx,Accept it will take time. Find new ways to fill the space. Learn from the experience. Reach out to new people.,xxx,xxx,xxx,0
197,197,197,xxx,xxx,How to Build Calf Muscle Without Equipment - Stretching Your Calf Muscles,xxx,Learn to stretch your calves correctly. Do a step drop stretch. Try the towel pull method. Practice the runner’s stretch. Do a standing calf stretch. Do a sitting calf stretch. Stretch your front calf muscle. Do yoga.,xxx,xxx,xxx,0
198,198,198,xxx,xxx,How to Understand the Difference Between Flirting and Social Interaction - Assessing if Someone is Flirting With You,xxx,Understand which scenarios are more likely to include flirting. Watch their body language. Consider whether the situation is more likely to be flirtatious or friendly. Evaluate your current relationship with the other person. Ask the person if they’re flirting.,xxx,xxx,xxx,0
199,199,199,xxx,xxx,How to Tell If Someone Is in Your Closet,xxx,"Say something funny. Listen for any rustling or breathing from the closet. Look for any signs that your closet has been opened or tampered with, generally a badly closed door or something moved out of the way. Turn on the light (or use a flashlight) to peer inside the closet before opening it if your closet has a slit in it. If you have a temperature gun and your closet has cracks, fire that inside and look for temperature spikes. Lock your closet somehow. Bang on the closet door loudly. Ask ""Is anyone inside of my closet?"" Slowly open the closet door, having a good grip on the handle and using your foot to prevent the door from opening far. Repeat step 7 until the door is fully open.",xxx,xxx,xxx,1
200,200,200,xxx,xxx,How to Dress More Feminine - Dressing Yourself Well,xxx,Choose clothes that fit you well. Read magazines to find the latest trends. Dress appropriately for the occasion.,xxx,xxx,xxx,0
201,201,201,xxx,xxx,How to Enclose a Balcony - Creating a Permanent Enclosure,xxx,Add a screen porch awning to make a shady enclosure. Install premade screen panels. Enclose your balcony with shutters.,xxx,xxx,xxx,0
202,202,202,xxx,xxx,How to Treat Ear Infections in Beagles - Seeking Veterinary Treatment,xxx,Schedule an appointment with your vet. Have your vet examine your beagle’s ears. Discuss treatment options with your vet. Clean and treat your beagle’s ears as prescribed.,xxx,xxx,xxx,0
203,203,203,xxx,xxx,How to Use Excel - Creating Charts,xxx,Set up the chart's data. Select the data. Click Insert. Click Recommended Charts. Select a chart template. Click OK. Edit your chart's title. Change your chart's axis titles.,xxx,xxx,xxx,1
204,204,204,xxx,xxx,How to Catalogue Your Books with Goodreads - Adding Shelves to Your Virtual Bookshelf,xxx,Visit Goodreads. Sign in. View your bookshelf. Add a shelf. Name the shelf.,xxx,xxx,xxx,1
205,205,205,xxx,xxx,How to Make Money in School - Saving Your Money,xxx,Open a savings account and use it. Take the bus or walk instead of driving or using a rideshare app. Shop at clearance sections and thrift stores. Sign up for a grocery store savings card.,xxx,xxx,xxx,0
206,206,206,xxx,xxx,How to Help Adopted Children Connect to Their Native Culture - Offering Support,xxx,Educate yourself about your child's native culture. Share interesting information about your child's native culture with them. Make it an open and celebrated topic. Enroll your child in a racially diverse school. Celebrate holidays of your adopted child's native culture. Bring in cultural elements within the home. Encourage your child to share their heritage.,xxx,xxx,xxx,0
207,207,207,xxx,xxx,How to Create a Simple Web Page with HTML - Adding Additional Elements to Your HTML,xxx,Add a picture to your page. Link to another page. Add a line break to your HTML.,xxx,xxx,xxx,0
208,208,208,xxx,xxx,How to Test the Air Quality in Your Home - Getting Professional Help,xxx,Pay a professional to test the air quality in your home. Hire a radon specialist to test for radon in your home. Use a professional test if you need an official test result.,xxx,xxx,xxx,0
209,209,209,xxx,xxx,How to Cope With Hunger - Avoiding Feeling Hungry,xxx,Avoid skipping meals. Eat foods high in fiber and protein. Eat foods that help you maintain energy levels. Exercise regularly. Eat mindfully.,xxx,xxx,xxx,0
210,210,210,xxx,xxx,How to Check Water Temperature Without a Thermometer - Determining if Water is Cold,xxx,Look for condensation on the water container. Note if ice begins to form. Check if the water is frozen.,xxx,xxx,xxx,0
211,211,211,xxx,xxx,How to Make Ads Work - Pair Ads with Other Promotional Strategies,xxx,Include a promotion. Combine ads with engaging activities.,xxx,xxx,xxx,0
212,212,212,xxx,xxx,How to Make Angel's Delight,xxx,"Take one angel food cake, and pull a large piece (about four inches wide) off. Wash your hands, and then open the can of pineapples just enough to drain the juice into a bowl (you'll need it later). Open the maraschino cherries and drain the juice into another bowl. Take a spoon and drizzle a goodly amount of the cherry and pineapple juices over the cake - about a third of the juice should suffice. Use another spoon, spread Cool Whip over the fruit layer. Sprinkle a thin layer of shredded coconut on top of the cool whip. Repeat the above steps with the remaining angel food cake, crushed pineapple, 12 more cherries, their respective juices, and cool whip. Cover and let sit in the refrigerator overnight, to let the cake absorb the juice and settle. Keep chilled until ready to serve; dole it out with a large serving spoon or spatula. Finished.",xxx,xxx,xxx,1
213,213,213,xxx,xxx,How to Use Microsoft Paint in Windows - Adding Text,xxx,Select a text color. Click A. Select a location for your text. Change the text's font. Change the font's size. Add formatting to the text. Increase the text box's size if necessary. Enter your text. Give your text a background if you like. Anchor your text.,xxx,xxx,xxx,1
214,214,214,xxx,xxx,How to Cut Parsnips - Cutting Disks on the Bias,xxx,Hold a parsnip securely on the cutting board. Hold your knife at a 45-degree angle at one end of the parsnip. Make cuts at a 45-degree angle along the length of the parsnip for disks.,xxx,xxx,xxx,1
215,215,215,xxx,xxx,How to Avoid Round Ligament Pain - Preventing Round Ligament Pain,xxx,Include stretching exercises as part of your daily routine. Learn about yoga during pregnancy. Use pillows. Avoid sitting or standing for long periods of time. Pay attention to your posture. Drink plenty of fluids. Use pelvic support aids. Work with a physical therapist.,xxx,xxx,xxx,0
216,216,216,xxx,xxx,How to Get Over a Crush - Accepting Your Feelings,xxx,Find people who know what you're feeling. Admit you have a crush. Tell your crush. Acknowledge defeat.,xxx,xxx,xxx,0
217,217,217,xxx,xxx,How to Watch Wildlife,xxx,Decide where you’re going to observe wildlife. Research the wildlife in your chosen location. Prepare for your expedition or outing. Blend in with your surroundings if required. Be still and wait. Approach wildlife carefully. Use your ears. Figure out what wildlife is doing. Record your observations. Learn more about what you observe.,xxx,xxx,xxx,0
218,218,218,xxx,xxx,How to Help a Dog Hurt in a Traffic Accident - Approaching the Dog,xxx,Speak softly to the dog. Turn your body slightly away from the dog. Move slowly. Extend a closed hand toward the dog. Determine if the dog is too aggressive to approach.,xxx,xxx,xxx,0
219,219,219,xxx,xxx,How to Perform a Dihybrid Cross Using the Forked‐Line Method - Setting Up the Problem,xxx,Highlight clues in the problem. Write down the genotypes for both parents. Draw two 2x2 Punnett squares. Label the Punnet square.,xxx,xxx,xxx,1
220,220,220,xxx,xxx,How to Tell a Friend You Need Some Space - Taking a Direct Approach,xxx,Wait until you’re not angry. Practice what you are going to say. Just say it. Establish boundaries. Be persistent.,xxx,xxx,xxx,0
221,221,221,xxx,xxx,How to Sign Autographs - Inking Your Autograph,xxx,Arrange instances for signing. Treat your fans with dignity and social grace. Equip yourself to autograph.,xxx,xxx,xxx,0
222,222,222,xxx,xxx,How to Be Independent - Navigating the World More Independently,xxx,Learn to drive or navigate public transportation. Do your own research instead of asking other people for help all the time. Learn to be handy around the house. Cook for yourself. Learn to balance your budget. Don't depend on your GPS for directions. Get used to doing things alone. Take it slowly.,xxx,xxx,xxx,0
223,223,223,xxx,xxx,How to Stay Organized when Moving,xxx,"Get a spiral notebook, a roll of masking tape, a pen, a Sharpie, and some sheets of labels. Make a list of all the rooms in your new home: dining room, kitchen, master bedroom, etc. Using masking tape, make tabs for your spiral notebook that match the categories you just created. Take a sheet of labels for each of your rooms, and write on the labels K-1, K-2, K-3, etc. Pack your first box. Now, on the page of your notebook for that room (for example, your K section for kitchen), write the box number and detailed information about the contents. Seal the box and slap a pre-made label or two on it. When you get to your new home, make signs to put on every door so the people unloading know where everything goes without you telling them.",xxx,xxx,xxx,1
224,224,224,xxx,xxx,How to Protect Plants from Animals - Spraying Repellents,xxx,Use hot pepper spray. Consider using peppermint oil to deter rodents. Use ready made repellents according to directions.,xxx,xxx,xxx,0
225,225,225,xxx,xxx,How to Feel Confident During Your Period - Treating Your Period Symptoms,xxx,Chart your period. Get adequate period protection. Wear clothes that make you feel comfortable. Carry pain relievers with you. Take vitamins. Wear adhesive heating pads.,xxx,xxx,xxx,0
226,226,226,xxx,xxx,How to Cut Tile Backsplash - Cutting Installed Tiles,xxx,"Cover your counter and put on a mask and safety goggles. Make the tile where you wish to cut it. Cut along the top, bottom, and side edges. Use an oscillating cutter to cut through tight corners. Pull the tile away.",xxx,xxx,xxx,1
227,227,227,xxx,xxx,How to Help Bad Knees with Yoga - Doing Intermediate Seated Yoga Poses,xxx,Do Sivananda knee bends to help relieve pressure on your knee joint and increase joint mobility. Practice Bridge pose or Setu Bandhasana pose to strengthen your knee muscles and improve knee alignment.,xxx,xxx,xxx,0
228,228,228,xxx,xxx,How to Properly Care for Your Guinea Pigs - Setting Up Your Guinea Pig's Cage,xxx,Purchase a large-sized horizontal cage. Choose a cage with a solid base. Avoid glass tanks or aquariums. Place the cage in a suitable location. Line your guinea pig's cage with absorbent bedding. Set up a feeding station in their cage. Purchase a large shallow food bowl for your guinea pig's vegetables. Choose between a water bottle and a water bowl. Provide your guinea pig with a place to hide. Add toys to your guinea pig's cage.,xxx,xxx,xxx,0
229,229,229,xxx,xxx,How to Recruit Staff - Interviewing and Hiring the New Employee,xxx,Make a shortlist of candidates. Have a multiple step interview process. Ask the right questions. Hire based on skill. Check references. Give yourself as much time as possible.,xxx,xxx,xxx,0
230,230,230,xxx,xxx,How to Prune a Quince Tree - Training a Young Tree,xxx,"Support young trees with stakes for 2 or 3 years. Remove the fruits in the first and second year. Prune young trees in winter and summer. Establish your desired shape in your tree's first year. Remove dead, diseased, and damaged limbs first. Use the placement of the buds to help train the tree. Cut the main trunk after the second year.",xxx,xxx,xxx,0
231,231,231,xxx,xxx,How to Avoid Foods That Worsen Indigestion - Identifying Troublesome Foods,xxx,Listen to your stomach. See if dairy makes your indigestion worse. Pay attention to your stress levels. Determine if particular vegetables make it worse. Try cutting down on refined carbohydrates and processed foods.,xxx,xxx,xxx,0
232,232,232,xxx,xxx,How to Choose a Poodle for Breeding - Picking The Right Dog,xxx,Choose a poodle size that meets AKC standard. Familiarize yourself with coat colors and consistency. Learn the typical behaviors of poodles. Spend time with puppies.,xxx,xxx,xxx,0
233,233,233,xxx,xxx,How to Convert MediaWiki to WordPress,xxx,"Decide on which method you'll choose for your site data transfer. Prepare for your WordPress migration, to make everything properly. Install new WordPress website and activate all the necessary plugins. Inform your site visitors about the switching and when finished, start converting your MediaWiki content to WordPress. Redesign the site. Set up 301 URLs redirects from old MediaWiki to WP.",xxx,xxx,xxx,1
234,234,234,xxx,xxx,How to Calculate Bond Discount Rate - Calculating the Present Value of the Bond's Principal,xxx,Gather the information. Calculate the current market interest rate for each payment period. Calculate the total number of interest payments. Calculate the Present Value Interest Factor (PVIF).,xxx,xxx,xxx,1
235,235,235,xxx,xxx,How to Use a Litter Box for a Rabbit - Setting up the Litterbox,xxx,Choose a standard litterbox that is low enough for your rabbit to enter. Fill the litterbox with a 1 in (2.5 cm) layer of newspaper pellet litter. Place a plastic grate over the litter to prevent scattered litter pellets. Cover the litter with hay up to the top of the litterbox.,xxx,xxx,xxx,1
236,236,236,xxx,xxx,How to Hire Employees Who Have High Standards - Finding the Best Candidates,xxx,Build the best reputation. Recruit in the right places. Hire a professional search firm.,xxx,xxx,xxx,0
237,237,237,xxx,xxx,How to Buy a Couch Online - Researching the Purchase,xxx,Take your time. Read online company reviews to find a reputable seller. Make sure the company offers a return policy you're happy with. Sign up for the company's emails.,xxx,xxx,xxx,0
238,238,238,xxx,xxx,How to Be Prepared for Common Technology Problems - Miscellaneous,xxx,Carry a few rubber bands. Also carry a couple zip-ties. Carry a pen and pad of post-its.,xxx,xxx,xxx,0
239,239,239,xxx,xxx,How to Enjoy Your Cancer Journey - Reacting After Diagnosis,xxx,Go to the pub. Tell everyone. Make time for research. Use retail therapy to your advantage.,xxx,xxx,xxx,0
240,240,240,xxx,xxx,How to Change Doctors - Managing the Transition,xxx,Make sure the new doctor will take your insurance. Have your medical records forwarded. Get organized.,xxx,xxx,xxx,0
241,241,241,xxx,xxx,How to Get Rid of Depression and Anxiety - Exploring Natural Remedies,xxx,"Get into a routine. Eat happy, healthy foods. Practice meditation. Get more exposure to Vitamin D. Vitamin D deficiency is commonly found with people who suffer from depression and anxiety.",xxx,xxx,xxx,0
242,242,242,xxx,xxx,How to Get a Job in America - Researching Cities and Jobs in America,xxx,Research American cities. Look for positions in your field of work in your selected cities before you move to America. Balance job availability with the kind of lifestyle you want in the USA.,xxx,xxx,xxx,0
243,243,243,xxx,xxx,How to Hire Restaurant Employees - Interviewing Applicants,xxx,"Choose interview applicants based on their qualifications. Make sure interviewees can meet the job's basic requirements. Ask questions related to both customer service and business operations. Avoid accidentally asking discriminatory interview questions. Interview prospective new hires twice, if possible.",xxx,xxx,xxx,0
244,244,244,xxx,xxx,How to Get over the Death of Someone You Love - Honoring the Memory of Your Loved One,xxx,Engage in public mourning rituals. Establish a private mourning ritual. Preserve memories of your loved one. Create a memory book of your loved one. Integrate photos of your loved one into your home. Gather friends and family together to share memories. Keep a journal. Think of the future.,xxx,xxx,xxx,0
245,245,245,xxx,xxx,How to Test Biodegradability of Plastic - Examining the Plastic,xxx,Mix the compost once a week using your hands. Dig up your test squares after 12 weeks. Examine the test squares to see if they have decomposed at all.,xxx,xxx,xxx,1
246,246,246,xxx,xxx,How to Ask a Professor for a Paper Extension - Formulating Your Reason,xxx,Double-check your course’s policies. Show evidence if you say you are sick. Be honest about personal emergencies. Let your professor know if you are swamped with work. Go the strength in numbers route. Keep it simple.,xxx,xxx,xxx,0
247,247,247,xxx,xxx,How to Make Taco Soup - Finishing the Soup,xxx,Bring the soup to a boil. Simmer the soup for an hour. Serve the soup in bowls with toppings.,xxx,xxx,xxx,0
248,248,248,xxx,xxx,How to Practice Nudism - Understanding Nudism,xxx,Know that nudism can help you get closer to nature. Know that being nude doesn't mean being sexual. Know that nudism can help you feel free. Know that most nudists aren't naked all the time.,xxx,xxx,xxx,0
249,249,249,xxx,xxx,How to Watch Live Football - Viewing Professional American Football,xxx,Use a TV service to watch nationally-broadcasted football games. Set up cable network streaming if you aren’t near a TV. Stream games through a mobile app to watch on your phone. Watch through Amazon services if you subscribe to Amazon Prime. Watch games on TV without cable by using a streaming app. Purchase a football channel package to watch any game you want.,xxx,xxx,xxx,0
250,250,250,xxx,xxx,How to Construct a Raised Planting Bed - Constructing the Frame,xxx,Cut your timbers to the desired length. Mark the outlines of the planter where you want to build. Remove the turf from the area inside the planter. Loosen the soil underneath the removed turf. Place 4 wood stakes at the inner corners of the planter. Dig a trench 1–2 inches (2.5–5.1 cm) deep along the edges of the planter. Attach the boards to the stakes with nails or screws. Line the planter with hardware cloth to keep out pests.,xxx,xxx,xxx,1
251,251,251,xxx,xxx,How to Play With Your Hermit Crab - Handling Your Hermit Crab,xxx,Pick up your hermit crab by the shell. Place the hermit crab on the ground gently. Supervise your hermit crab while it roams and explores. Don’t remove your hermit crab from its shell or pull on its limbs.,xxx,xxx,xxx,1
252,252,252,xxx,xxx,How to Cook Tapioca - Using Tapioca in Recipes,xxx,Use as a thickener. Stir into jams and jellies. Make bubble tea. Use it as substitute.,xxx,xxx,xxx,0
253,253,253,xxx,xxx,How to Make a Good Pot of Coffee - Brewing the Coffee,xxx,Select how much coffee you want to make. Add cold water to the reservoir on the coffee maker. Place a filter inside the machine over the coffee pot. Pour coffee grounds into the filter and close the machine. Press the start button and wait for up to 12 minutes. Serve and enjoy the coffee while it’s hot.,xxx,xxx,xxx,1
254,254,254,xxx,xxx,How to Pay Your Taxes - Submitting Payment through the Mail,xxx,Verify the amount of tax that you owe. Get a bank check or money order. Include any payment slip or voucher that you've received. Send your payment to the tax agency. Follow up to make sure your payment is received.,xxx,xxx,xxx,1
255,255,255,xxx,xxx,How to Clean Behind Your Ears - Cleaning With a Cotton Swab,xxx,Prepare the cotton swab with your cleanser. Wipe dirt away gently. Only use cotton swabs on the outside of the ear.,xxx,xxx,xxx,1
256,256,256,xxx,xxx,How to Get a Nice Butt - Incorporating Cardiovascular Exercise for Your Butt,xxx,Use a combination of cardiovascular exercises to meet your weekly requirements. Walk up and down stairs or use a stair machine. Take a walk uphill. Use an elliptical walker.,xxx,xxx,xxx,0
257,257,257,xxx,xxx,How to Train Your Dog to Not Run Away - Training your Dog to Come,xxx,"Begin training a lot  when your dog is still young. Gather some special treats for your dog. Call your dog to you while you’re in a small room together. When your dog comes, give him/her a treat. Walk away from your dog. Call your dog again. Repeat this process until you have regular, predictable success. Practice this command in increasingly larger spaces. Try distracting your dog, once he or she's mastered the command.",xxx,xxx,xxx,0
258,258,258,xxx,xxx,How to Relieve Hernia Pain - Making Lifestyle Changes,xxx,Eat smaller meals. Reduce pressure on your abdomen. Lose weight. Exercise key muscles. Stop smoking.,xxx,xxx,xxx,0
259,259,259,xxx,xxx,How to Find Treasure - Looking for Treasure Nearby,xxx,Get a metal detector to help you find metal objects. Investigate the strip of land between roads and sidewalks. Search along old public parks or picnic grounds. Look around vacant lots where buildings used to be. Visit old swimming holes or dried-up bodies of water.,xxx,xxx,xxx,0
260,260,260,xxx,xxx,"How to Create Link Same HTML Document, Which Scrolls Down to Desired Area on Click - Using jQuery",xxx,"Now that we have covered HTML we can cover some more advanced features to make the scrolling a little smoother with the use of jQuery. Open previously created document that contains the HTML code you wish to modify. Add the following to the <head> tag like shown below. Locate the element that you wish to click on for the scroll function and give it an id like described in the previous method.(e.g. Give the element that you wish to scroll to an id.(e.g. Go back to <head> and insert the following.<script>//Makes sure document is full loaded before it is able to run$(document).ready(function(){//Sets action for element to be clicked$(""#Name"").click(function(){//Sets element to scroll to$('html, body').animate({scrollTop: $('#ScrollToElement').offset().top}, 2000);});});</script> Save the document and test Congratulations you now know how to use jQuery to scroll to an element.",xxx,xxx,xxx,1
261,261,261,xxx,xxx,How to Create a Kahoot Game,xxx,Go to https://create.kahoot.it/login. Log in. Click Create. Click to choose a template or create a new game from scratch. Click Add question and choose a question type. Click Done.,xxx,xxx,xxx,1
262,262,262,xxx,xxx,How to Choose a Car Rack or Carrier - Choosing a Car Carrier,xxx,"Choose a cargo box if security is your utmost concern. Select a soft-sided cargo bag if you don't want to spend a lot. Look at the wind-resistance, which will affect gas mileage and noise on the highway. Make sure the cargo box length is right for your vehicle. Consider the color.",xxx,xxx,xxx,0
263,263,263,xxx,xxx,How to Be a Good Hamster Owner (for Kids) - Cleaning Your Hamster’s Cage,xxx,Relocate your hamster. Remove the old bedding. Wash the habitat. Restock the bedding and replace toys and other objects.,xxx,xxx,xxx,1
264,264,264,xxx,xxx,How to Introduce a Dog to Pet Chickens - Considering Your Dog’s Breed,xxx,Learn about your dog’s breed. Recognize whether you have a breed with a high prey drive. Notice if your mixed breed dog is large and playful. Identify the risks of a toy dog.,xxx,xxx,xxx,0
265,265,265,xxx,xxx,How to Play Roller Derby - Scoring Points for Your Team,xxx,Try to pass the pack if you are a jammer. Prevent the other team’s jammer from passing if you are a blocker. Pass the star to your team’s pivot if you cannot get through the pack. Touch your hips to end the jam if you are the lead jammer.,xxx,xxx,xxx,0
266,266,266,xxx,xxx,How to Apply for a Job in Canada - Applying and Interviewing,xxx,Write a cover letter for the specific job you’re applying for. Fill out the job application completely and honestly. Show up on time and well-dressed for your interview. Follow up with the company in 2-3 days.,xxx,xxx,xxx,1
267,267,267,xxx,xxx,How to Get Your Child to Eat Healthy Lunches at School - Encouraging Your Child's Decision Making,xxx,Read the school's lunch menu together. Avoid labeling food as 'good' or 'bad'. Make school lunches a treat if there aren't many healthy options. Ask your child what they ate for lunch that day. Offer healthy choices at home so your child can practice making decisions. Ask your young child to help you plan your lunch.,xxx,xxx,xxx,0
268,268,268,xxx,xxx,How to Cope when an Older Friend Leaves for College While You Stay in High School - Staying in Touch,xxx,Set up regular video calls with your friend. Send them mail. Use text messaging. Visit them when they are back in town. Recognize that your friendship will change.,xxx,xxx,xxx,0
269,269,269,xxx,xxx,How to Get Rid of Sore Tonsils - Taking Medicine,xxx,Use an over-the-counter anti-inflammatory. Try an over-the-counter pain medication. Swallow a spoonful of cough syrup. Try an antihistamine. Take antibiotics for strep throat.,xxx,xxx,xxx,0
270,270,270,xxx,xxx,How to Build a Go Kart - Mounting the Engine and Steering Column,xxx,Install the engine mount. Assemble your steering linkage. Install the wheels and brakes. Attach the throttle cable to the hand throttle. Double check your brakes and suspension system before test-driving.,xxx,xxx,xxx,1
271,271,271,xxx,xxx,How to Confront Someone Who's Giving You the Silent Treatment - Moving Forward,xxx,Improve your communication skills. Try only once. Be willing to walk away.,xxx,xxx,xxx,0
272,272,272,xxx,xxx,How to Buy a Cantaloupe - Choosing a Cantaloupe,xxx,Look for signs of decay. Check the rind color and webbing. Examine the stem end carefully. Heft and tap the cantaloupe. Feel and smell the blossom end.,xxx,xxx,xxx,0
273,273,273,xxx,xxx,How to Create a Photography Resume - Including Examples of Your Work,xxx,"Create a portfolio and include it with your resume. Attach your portfolio so that it flows seamlessly from your resume. Include a link to your website or blog under your contact information. Include testimonials from happy clients, if you have room.",xxx,xxx,xxx,0
274,274,274,xxx,xxx,How to Judge a Woman's Character - Discovering Her Moral Compass,xxx,Tell her a secret to find out if she's trustworthy. Watch whether she keeps her word to see if she's reliable. Ask her how she defines success to find out her priorities. Evaluate how she reacts to stressful situations or failure. Notice whether she brags about her accomplishments.,xxx,xxx,xxx,0
275,275,275,xxx,xxx,How to Get a MetroPCS SIM Card - Buying from the MetroPCS Website,xxx,"Go to the MetroPCS SIM card landing page at https://www.metropcs.com/cell-phones/phonedetails.MetroPCS_SIM_Card.610214633514.html. Click on “Add to cart.” Click on the “cart” link at the upper right corner of the MetroPCS website. Enter a promotional code if applicable, then click on “Checkout.” Sign in to your existing MetroPCS account, or select the option to check out as a guest. Enter your shipping information, and click on “Continue.” Enter your payment information, then click on “Continue.” Review your order details, then click on “Submit.” MetroPCS will then process your order, and send the SIM card to the shipping address you specified.",xxx,xxx,xxx,1
